id,smiles,confnum,homo,lumo,gap
212,CC(=O)c1cc2csc(c3cc4c(s3)c(c3ccc(C)s3)c3ccsc3c4c3ccc(C)s3)c2s1,0,-0.252,0.028,0.28
213,COc1cccc(c2nc3c(c4cccs4)ccc(c4ccc(c5cc6c(s5)c(c5ccc(C)s5)c5ccsc5c6c5ccc(C)s5)s4)c3nc2c2cccc(OC)c2)c1,0,-0.241,0.017,0.258
214,C#Cc1cc(OC)c(C#Cc2scc3nc(c4ccccc4)c(c4ccccc4)nc23)cc1OC,0,-0.257,0.011,0.268
215,COc1ccc(N(c2ccc(OC)cc2)c2ccc(c3ccc(/C=C(\C#N)/C(=O)O)s3)cc2)cc1,0,-0.261,0.009,0.27
216,Cn1c2ccccc2c2ccc(c3ccc(c4cnc(c5cccs5)c5nonc45)s3)cc12,0,-0.254,-0.013,0.241
217,CC1(C)c2ccccc2c2ccc(N(c3ccc(c4cc5sc6cc(/C=C(\C#N)/C(=O)O)sc6c5s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc43)cc12,0,-0.253,-0.003,0.25
218,Cc1cc(c2c3ccsc3c(c3cc(C)c([C])s3)c3[c]c(c4[c][c]c5c([c]4)N([C])C(=O)/C/5=C/4\c5[c][c][c][c]c5N([C])C4=O)sc23)sc1[C],0,-0.251,0,0.251
219,Cn1c2ccccc2c2ccc(c3ccc(c4ccc(c5cccs5)c5nonc45)s3)cc12,0,-0.254,-0.004,0.25
220,C(=C\c1ccc(c2ccc(N(c3ccc(c4ccc(/C=C/c5cccs5)s4)cc3)c3ccc(c4ccc(/C=C/c5cccs5)s4)cc3)cc2)s1)/c1cccs1,0,-0.236,0.035,0.271
221,Cn1c2ccccc2c2ccc(c3ccc(c4c5c(=O)n(C)c(c6cccs6)c5c(=O)n4C)s3)cc12,0,-0.24,0.006,0.246
222,Cc1csc(c2nc3sc(c4cc(C)c(c5cc6c(s5)c5sccc5[Si]6(C)C)s4)nc3s2)c1,0,-0.246,0.017,0.263
223,C=Cc1ccc(N(c2ccccc2)c2ccc(/C=C/3\SC(=S)N(CC(=O)O)C3=O)cc2)cc1,0,-0.272,0.022,0.294
224,CC1(C)c2ccccc2c2ccc(c3ccc(c4ccc(c5cccs5)c5nsnc45)s3)cc12,0,-0.249,0,0.249
225,CC1(C)c2ccccc2c2ccc(c3ccc(c4ccc(C5=C(c6ccccc6)C(=C(c6ccc(c7cccs7)s6)[Si]5(C)C)c5ccccc5)s4)s3)cc12,0,-0.231,0.02,0.251
226,Cc1cc(/C=C(\C#N)/C(=O)O)sc1c1cc(C)c(c2cc(C)c(c3cc4ccc(N(c5ccc6c(c5)C(C)(C)c5ccccc65)c5ccc6c(c5)C(C)(C)c5ccccc65)cc4s3)s2)s1,0,-0.24,-0.006,0.234
227,COc1c2ccsc2c(OC)c2cc(c3scc4sc(C(=O)C)cc34)sc12,0,-0.262,0.015,0.277
228,N#C/C(=C\c1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1)/C(=O)O,0,-0.263,0.001,0.264
229,COc1cccc(c2nc3c(c4cccs4)ccc(c4ccc(c5ccc6c(c5)C(C)(C)c5ccccc65)s4)c3nc2c2cccc(OC)c2)c1,0,-0.248,0.018,0.266
230,N#C/C(=C\C=C\c1ccc(N(c2ccccc2)c2ccccc2)cc1)/C(=O)O,0,-0.274,0.015,0.289
231,CC1(C)c2cc(c3ccc(/C=C(\C#N)/C(=O)O)s3)ccc2c2ccc(N(c3ccccc3)c3ccc4ccc5cccc6ccc3c4c56)cc12,0,-0.252,0.004,0.256
232,COc1c2ccsc2c(OC)c2c1sc(c1ccc(c3sc(c4nc(C)c(c5cccs5)s4)nc3C)s1)c2,0,-0.248,0.011,0.259
233,Cc1csc(/C=C/c2cccc3nsnc23)c1C,0,-0.264,0.014,0.278
234,Cc1csc(c2ccc(c3cc(C)c(c4cc5c(s4)c(c4ccc(C)cc4)c4ccsc4c5c4ccc(C)cc4)s3)c3nsnc23)c1,0,-0.242,-0.002,0.24
235,N#C/C(=C\c1ccc(c2ccc(c3cc(c4ccc(c5ccc(N(c6ccccc6)c6ccccc6)cc5)s4)c(c4ccc(c5ccc(N(c6ccccc6)c6ccccc6)cc5)s4)s3)s2)s1)/C(=O)O,0,-0.247,-0.009,0.238
236,Cn1c2cc(C=C(C#N)C#N)sc2c2sc(C=C(C#N)C#N)cc12,0,-0.3,-0.046,0.254
237,COc1cccc(c2nc3cccc(c4cccs4)c3nc2c2cccc(OC)c2)c1,0,-0.281,0.036,0.317
238,Cc1csc(C#Cc2cccc3nsnc23)c1C,0,-0.276,0.011,0.287
239,CC1(C)c2ccccc2c2cc3c(cc12)c1cc2c(cc1C3(C)C)c1ccc(c3ccc(c4ccc(c5cccs5)c5nsnc45)s3)cc1C2(C)C,0,-0.241,-0.001,0.24
240,Cc1ccc(c2c3ccsc3c(c3ccc(C)s3)c3cc(c4ccc(c5nc6sc(c7cccs7)nc6s5)s4)sc23)s1,0,-0.248,0.011,0.259
241,COc1c2cc(c3ccc(c4c5c(=O)n(C)c(c6cccs6)c5c(=O)n4C)s3)sc2c(OC)c2ccsc12,0,-0.242,-0.002,0.24
242,CN1C(=O)c2csc(c3cc4c(s3)c3sccc3C4(C)C)c2C1=O,0,-0.264,0.021,0.285
243,COc1c2cc(c3cccs3)sc2c(OC)c2cc(c3ccc(c4ccc5c(c4)N(C)C(=O)/C/5=C/4\c5ccccc5N(C)C4=O)s3)sc12,0,-0.248,-0.004,0.244
244,COc1c2ccsc2c(OC)c2cc(c3sc(c4scc5ccccc45)c4ccccc34)sc12,0,-0.235,0.017,0.252
245,Cc1ccc(c2ccc(c3ccc(c4ccc(N(c5ccc(c6ccc(c7ccc(c8ccc(C)s8)s7)s6)cc5)c5ccc(c6ccc(c7ccc(c8ccc(C)s8)s7)s6)cc5)cc4)s3)s2)s1,0,-0.234,0.034,0.268
246,COc1ccc(c2nc3c(c4cccs4)ccc(c4ccc(c5ccc6c7ccccc7n(C)c6c5)s4)c3nc2c2ccc(OC)cc2)cc1,0,-0.244,0.023,0.267
247,N#C/C(=C\c1cc(c2ccc(c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)c(c2ccc(c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)/C(=O)O,0,-0.25,0.002,0.252
248,COC(=O)c1cc2csc(c3cc4c(s3)c(C)c3ccsc3c4C)c2s1,0,-0.257,0.032,0.289
249,Cc1ccc(c2c3sc4cc(c5scc6cc(S(=O)(=O)C)sc56)sc4c3c(c3ccc(C)s3)c3sc4ccsc4c23)s1,0,-0.253,0.022,0.275
250,COC(=O)c1sc2c(c3ccc(c4cc5c(s4)c(c4ccc(OC)cc4)c4ccsc4c5c4ccc(OC)cc4)s3)sc(c3cccs3)c2c1F,0,-0.242,0.008,0.25
251,C#Cc1cc2c(s1)c1sc(C#Cc3scc4nc(c5ccccc5)c(c5ccccc5)nc34)cc1C2(C)C,0,-0.243,0.005,0.248
252,C=Cc1ccc2c3ccc(/C=C/c4sc(c5cc(C)cs5)cc4C)cc3n(c3ccc(OC)cc3)c2c1,0,-0.24,0.038,0.278
253,COc1c2ccsc2c(OC)c2cc(c3scc4cc(C(=O)C)sc34)sc12,0,-0.257,0.03,0.287
254,Cc1ccc(c2c3cc(c4ccc(c5sc(c6cccs6)c6cc(S(=O)(=O)C)sc56)s4)sc3c(c3ccc(C)s3)c3ccsc23)s1,0,-0.245,0.005,0.25
255,COc1ccc(N(c2ccc(OC)cc2)c2ccc(c3ccc(/C=C(\C#N)/C(=O)O)o3)cc2)cc1,0,-0.256,0.02,0.276
256,Cc1cc2c3cc(C)sc3c3nc4c(cccc4c4ccc(c5ccc6c(c5)C(C)(C)c5cc(c7cccs7)ccc65)s4)nc3c2s1,0,-0.247,0.01,0.257
257,Cc1cc(c2cc(C)c(c3ccc(c4sc(c5nc(C)c(c6cccs6)s5)nc4C)s3)s2)sc1,0,-0.245,0.014,0.259
258,Cc1csc(c2ccc(c3cc(C)c(c4cc5c(s4)c(C)c4ccsc4c5C)s3)c3nsnc23)c1,0,-0.243,-0.004,0.239
259,CSc1ccc(c2ccc(c3csc(c4cc(c5ccc(c6ccc(SC)s6)s5)sc4c4sc(c5ccc(c6ccc(S[CH2])s6)s5)[c]c4c4[c][c]c(c5[c][c]c(c6[c][c]c(S[C])s6)s5)s4)[c]3)s2)s1,0,-0.252,0.022,0.274
260,Cc1cc(C=C2C(=O)N(C)C(=O)N(C)C2=O)sc1c1cc(C)c(c2cc(C)c(c3ccc(c4sc(c5sc(c6sc(C=C7C(=O)N(C)C(=O)N(C)C7=O)cc6C)cc5C)cc4C)s3)s2)s1,0,-0.243,-0.016,0.227
261,C=Cc1cc(OC)ccc1OC,0,-0.286,0.097,0.383
262,Cc1nc2c(nc1C)c(c1ccc(c3ccc4c5ccccc5n(C)c4c3)s1)sc2c1cccs1,0,-0.229,0.009,0.238
263,COc1c2ccsc2c(OC)c2c1sc(c1cc(C)c(c3sc(c4nc(C)c(c5sccc5C)s4)nc3C)s1)c2,0,-0.247,0.019,0.266
264,COc1c2cc(c3cc(C)c(c4ccc(c5sc([CH]C6=[S]C(=S)N(C)C6=O)cc5C)s4)s3)sc2c(OC)c2cc(c3cc(C)c(c4ccc(c5sc([CH]C6=[S]C(=S)N(C)C6=O)cc5C)s4)s3)sc12,0,-0.24,-0.007,0.233
265,COc1c2ccsc2c(OC)c2cc(c3scc4sc(C(=O)C)c(F)c34)sc12,0,-0.265,0.012,0.277
266,Cn1c(=O)c2c(c3cc4sccc4s3)n(C)c(=O)c2c1c1cc2sccc2s1,0,-0.244,0.002,0.246
267,CC1(C)c2cc(/C=C(\C#N)/c3ccc(/C=C(\C#N)/C(=O)O)s3)ccc2c2ccc(N(c3ccccc3)c3ccccc3)cc12,0,-0.263,-0.01,0.253
268,COc1ccc(c2nc3c(c4scc5c4OCCO5)ccc(c4sc(c5ccc6c(c5)C(C)(C)c5ccccc65)c5c4OCCO5)c3nc2c2ccc(OC)cc2)cc1,0,-0.241,0.032,0.273
269,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3c3cc4c(cc23)c2sc(c3ccc(c5ccc(c6cccs6)c6nsnc56)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,0,-0.235,-0.002,0.233
270,COc1c(OC)c(c2ccc(c3ccc4c5ccccc5n(C)c4c3)s2)c2nsnc2c1c1cccs1,0,-0.246,0.006,0.252
271,Cn1c2ccccc2c2ccc(c3ccc(c4nnc(c5cccs5)c5nonc45)s3)cc12,0,-0.264,-0.02,0.244
272,COc1ccc(N(c2ccc(OC)cc2)c2cccc(n3c4ccccc4c4ccc(c5ccc(c6c7nsnc7c(c7cccs7)c7nc(c8ccccc8)c(c8ccccc8)nc67)s5)cc34)c2)cc1,0,-0.228,-0.029,0.199
273,Cc1csc(c2ccc(c3cc(C)c(c4cc5c(s4)c4sccc4c4cc(C)c(C)cc54)s3)c3nsnc23)c1,0,-0.24,-0.003,0.237
274,COc1ccc2c(c1)c1cc(OC)c(c3ccc(c4ccc(c5cccs5)c5nsnc45)s3)cc1[Si]2(C)C,0,-0.249,0.001,0.25
275,COc1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(OC)c(OC)c3)c3ccccc23)cc1OC,0,-0.238,0.013,0.251
276,Cn1c(=O)c2c(c3ccc(c4ccc(C(F)(F)F)cc4)s3)n(C)c(=O)c2c1c1ccc(c2ccc(C(F)(F)F)cc2)s1,0,-0.252,-0.014,0.238
277,COCc1cc2csc(c3cc4c(s3)c(OC)c3ccsc3c4OC)c2s1,0,-0.253,0.046,0.299
278,Cc1cc(/C=C(\C#N)/C(=O)O)sc1c1cc(C)c(c2cc(C)c(c3ccc(N(c4ccc5c(c4)C(C)(C)c4ccccc54)c4ccc5c(c4)C(C)(C)c4ccccc54)cc3)s2)s1,0,-0.245,-0.004,0.241
279,Cc1ccsc1c1sc(c2sc(c3sc(c4sccc4C)c(C)c3)cc2C)c2[n]c3c([n]c12)c1cccc2cccc3c12,0,-0.239,0.013,0.252
280,Cc1ccc(c2c3cc(c4ccc(c5sc(c6cccs6)c6c5C(=O)c5c(C)sc(C)c5C6=O)s4)sc3c(c3ccc(C)s3)c3ccsc23)s1,0,-0.246,0.012,0.258
281,Cn1c(c2ccc(/C=C(\C#N)/C(=O)O)cc2)ccc1c1ccc(N(c2ccccc2)c2ccccc2)cc1,0,-0.255,0.015,0.27
282,N#CC(=Cc1ccc(c2ccc(N(c3ccc(c4ccc(/C=C/c5cccs5)s4)cc3)c3ccc(c4ccc(/C=C/c5cccs5)s4)cc3)cc2)s1)C#N,0,-0.248,-0.005,0.243
283,COC(=O)c1cc2c(csc2c2sc3c(c2F)c(OC)c2scc(F)c2c3OC)s1,0,-0.27,0.014,0.284
284,COc1c2sc(c3ccc(c4c5c(=O)n(C)c(c6cccs6)c5c(=O)n4C)s3)cc2cc2c1cc1cc(c3ccc(c4c5c(=O)n(C)c(c6cccs6)c5c(=O)n4C)s3)sc1c2OC,0,-0.237,-0.01,0.227
285,Cn1c(c2ccc(/C=C(\C#N)/C(=O)O)s2)ccc1c1ccc(c2ccc3c(c2)C(C)(C)c2cc(N(c4ccccc4)c4ccccc4)ccc32)s1,0,-0.248,0.005,0.253
286,C(=C\c1ccc(N(c2ccccc2)c2ccccc2)cc1)/c1ccc(c2ccc(c3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)c3nsnc23)s1,0,-0.229,-0.003,0.226
287,CC1(C)c2cc(/C=C(\C#N)/C(=O)O)sc2c2sc(c3ccc(N(c4ccc(N5c6ccccc6Sc6ccccc56)cc4)c4ccc(N5c6ccccc6Sc6ccccc56)cc4)cc3)cc12,0,-0.263,-0.005,0.258
288,COc1c(OC)c(c2ccc(c3ccc4c(c3)C(C)(C)c3ccccc43)s2)c2nsnc2c1c1cccs1,0,-0.246,0.007,0.253
289,COC(=O)c1cc2csc(c3ccc(c4ccc(c5sccc5C)s4)s3)c2s1,0,-0.248,0.026,0.274
290,COc1ccc(N(c2ccc(OC)cc2)c2ccc(c3sc(c4cc5sc(/C=C(\C#N)/C(=O)O)cc5s4)c4c3OCCO4)cc2)cc1,0,-0.244,-0.001,0.243
291,COc1c2sccc2c2cc(c3ccc(c4sc(c5nc(C)c(c6cccs6)s5)nc4C)s3)sc2c1OC,0,-0.248,0.011,0.259
292,N#C/C(=C\c1ccc(/C=C/c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)/C(=O)O,0,-0.248,-0.007,0.241
293,Cc1ccc(c2c3cc(c4sc5cc(c6ccc(c7csc8c(C)csc78)c7nsnc67)sc5c4C)sc3c(c3ccc(C)s3)c3ccsc23)s1,0,-0.244,-0.003,0.241
294,Cn1c(=O)c2c(c3ccc(c4cc5ccccc5c5ccccc45)s3)n(C)c(=O)c2c1c1ccc(c2cc3ccccc3c3ccccc23)s1,0,-0.241,0.007,0.248
295,COc1c2ccsc2c(OC)c2cc(c3sc(c4sc(c5cc(C)cs5)c5c4C(=O)N(C)C5=O)cc3C)sc12,0,-0.25,0.013,0.263
296,Cc1cc(c2cc(C)c(c3sc(c4cc(C)c(c5nc6scnc6s5)s4)cc3C)s2)sc1,0,-0.256,0.02,0.276
297,COc1cc2c3ccsc3c3sc(c4cccc5nsnc45)cc3c2cc1OC,0,-0.26,0.007,0.267
298,Cc1nc(c2nc(C)c(c3ccc(c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)sc1c1ccc(c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,0,-0.238,0.018,0.256
299,N#C/C(=C\c1ccc(C=C(c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1)/C(=O)O,0,-0.259,0.005,0.264
300,Cn1c(=O)c2c(c3ccc(c4ccco4)o3)n(C)c(=O)c2c1c1ccco1,0,-0.24,0.013,0.253
301,Cn1c(=O)c2c(c3ccc(C#Cc4cc5ccccc5c5ccccc45)s3)n(C)c(=O)c2c1c1ccc(C#Cc2cc3ccccc3c3ccccc23)s1,0,-0.242,-0.008,0.234
302,COc1ccc(N(c2ccc(OC)cc2)c2ccc(c3sc(/C=C(\C#N)/C(=O)O)c4c3OCCO4)cc2)cc1,0,-0.256,0.015,0.271
303,CC1(C)CC(=C/C(=C(\C#N)/C(=O)O)/C1)/C=C/c1ccc(N(c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0,-0.248,0.013,0.261
304,CC1(C)c2ccccc2c2ccc(c3ccc(c4ccc(c5cccs5)c5c4[N][C@@H](c4ccccc4)[C@H](c4ccccc4)[N]5)s3)cc12,0,-0.244,0,0.244
305,Cc1csc(c2c3nsnc3c(c3cc(C)c(c4cc5c(s4)c(C)c4ccsc4c5C)s3)c(F)c2F)c1,0,-0.249,-0.012,0.237
306,CC1(C)c2ccccc2c2ccc(c3ccc(C4=C(c5ccccc5)C(=C(c5cccs5)[Si]4(C)C)c4ccccc4)s3)cc12,0,-0.237,0.03,0.267
307,Cc1ccc(c2c3ccsc3c(c3ccc(C)s3)c3cc(c4ccc(c5c6c(=O)n(C)c(c7cccs7)c6c(=O)n5C)s4)sc23)s1,0,-0.24,-0.001,0.239
308,C[Si]1(C)c2ccccc2c2ccc(c3ccc(c4ccc(c5cccs5)c5nsnc45)s3)cc12,0,-0.249,0,0.249
309,N#C/C(=C\c1ccc(/C=C/c2ccc(c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)/C(=O)O,0,-0.253,-0.005,0.248
310,C=Cc1cc(OC)c(/C=C/c2ccc(N(c3ccccc3)c3ccc(/C=C(\C#N)/c4ccc(N(=O)=O)cc4)cc3)cc2)cc1OC,0,-0.255,0.008,0.263
311,COc1c2cc(C)sc2c(OC)c2cc(c3ccc(c4sc(c5ccc(C)s5)c5c4C(=O)N(C)C5=O)s3)sc12,0,-0.252,0.011,0.263
312,Cc1c2ccsc2c(C)c2cc(c3ccc(c4cnc(c5cccs5)c5nsnc45)s3)sc12,0,-0.249,-0.013,0.236
313,CC(=O)c1cc2c(csc2c2cc3c(s2)c(C)c2ccsc2c3C)s1,0,-0.26,0.016,0.276
314,Cc1cc(c2ccc(N(c3ccccc3)c3ccccc3)cc2)sc1c1cnc(c2ncc(c3sc(c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3C)s2)s1,0,-0.238,0.02,0.258
315,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3c3cc4c(cc23)c2sc(c3cccc5nc6c7ccsc7c7sccc7c6nc35)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,0,-0.243,0.012,0.255
316,Cc1cc(c2cc3c4nsnc4c(c4cc(C)c(c5cccs5)s4)cc3c3nsnc23)sc1c1cccs1,0,-0.249,-0.018,0.231
