core_id,sub_id,smiles
1,1,CCC(CCCC)C[Si]1(CC(CCCC)CC)C2=C(C=CC=C2)C3=CC=CC=C31
3,1,CCCCCCCCC1(CCCCCCCC)C2=C(C=CC=C2)C3=CC=CC=C31
3,2,CCC(CCCC)CC1(CC(CCCC)CC)C2=C(C=CC=C2)C3=CC=CC=C31
3,3,CCCCCCCCCCC1(CCCCCCCCCC)C2=C(C=CC=C2)C3=CC=CC=C31
5,1,CCC(CCCC)CC(S1)=CC=C1C2=C3C(C=CS3)=C(C4=CC=C(CC(CCCC)CC)S4)C5=C2C=CS5
7,1,CCCCCCC(C=C1)=CC=C1C(C2C3SC=C2)(C4=CC=C(CCCCCC)C=C4)C5=C3C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8C9SC=C8)C9=C5
7,2,CCCCCCC(C1C2SC=C1)(CCCCCC)C3=C2C=C(C(CCCCCC)(CCCCCC)C4C5SC=C4)C5=C3
7,3,CCCCCCCCC(C1C2SC=C1)(C3=CC=C(CCCCCC)C=C3)C4=C2C=C(C(C5=CC=C(CCCCCC)C=C5)(CCCCCCCC)C6C7SC=C6)C7=C4
7,4,CCCCCCCCC(C1C2SC=C1)(CCCCCCCC)C3=C2C=C(C(CCCCCCCC)(CCCCCCCC)C4C5SC=C4)C5=C3
7,5,CCC(CCCCCC)CC(C1C2SC=C1)(CC(CCCCCC)CC)C3=C2C=C(C(CC(CCCCCC)CC)(CC(CCCCCC)CC)C4C5SC=C4)C5=C3
8,1,CCCCCCC(S1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC=C(CCCCCC)S5)C6=C3C=C(C(C7=CC=C(CCCCCC)S7)(C8=CC=C(CCCCCC)S8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,2,CCCCCCC(C=C1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC=C(CCCCCC)C=C5)C6=C3C=C(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,3,CCCCCCOC(C=C1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC=C(OCCCCCC)C=C5)C6=C3C=C(C(C7=CC=C(OCCCCCC)C=C7)(C8=CC=C(OCCCCCC)C=C8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,4,CCCCCCOC1=CC(C(C2C3SC4=C2SC=C4)(C5=CC(OCCCCCC)=CC=C5)C6=C3C=C(C(C7=CC=CC(OCCCCCC)=C7)(C8=CC(OCCCCCC)=CC=C8)C9C%10SC%11=C9SC=C%11)C%10=C6)=CC=C1
8,5,CCCCCCOC(C(F)=C1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC(F)=C(OCCCCCC)C=C5)C6=C3C=C(C(C7=CC(F)=C(OCCCCCC)C=C7)(C8=CC=C(OCCCCCC)C(F)=C8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,6,CCCCCC[Se]C(C1C2SC3=C1SC=C3)([Se]CCCCCC)C4=C2C=C(C([Se]CCCCCC)([Se]CCCCCC)C5C6SC7=C5SC=C7)C6=C4
8,7,CCCCCCSC(C=C1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC=C(SCCCCCC)C=C5)C6=C3C=C(C(C7=CC=C(SCCCCCC)C=C7)(C8=CC=C(SCCCCCC)C=C8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,8,CCCCCCCCSC(C=C1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC=C(SCCCCCCCC)C=C5)C6=C3C=C(C(C7=CC=C(SCCCCCCCC)C=C7)(C8=CC=C(SCCCCCCCC)C=C8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,9,CCCC(CCCCCC)CSC(C=C1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC=C(SCC(CCCCCC)CC)C=C5)C6=C3C=C(C(C7=CC=C(SCC(CCCCCC)CC)C=C7)(C8=CC=C(SCC(CCCCCC)CC)C=C8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,10,CCCCCCC1=CC(C(C2C3SC4=C2SC=C4)(C5=CC=CC(CCCCCC)=C5)C6=C3C=C(C(C7=CC(CCCCCC)=CC=C7)(C8=CC(CCCCCC)=CC=C8)C9C%10SC%11=C9SC=C%11)C%10=C6)=CC=C1
8,11,CCCCCCCCOC1=CC=CC(C2(C3=CC(OCCCCCCCC)=CC=C3)C4=CC5=C(C(C6=CC=CC(OCCCCCCCC)=C6)(C7=CC=CC(OCCCCCCCC)=C7)C8C5SC9=C8SC=C9)C=C4C%10C2C(SC=C%11)=C%11S%10)=C1
10,1,O=C1N(CC(CCCC)CC)C(C2=CC=CS2)=C3C(N(CC(CCCC)CC)C(C4=CC=CS4)=C31)=O
11,1,CCCCCCCCC(CCCCCCCC)N1C2=C(C=CC=C2)C3=CC=CC=C31
12,1,CCCCCCCCC(C1=C2SC=C1)(CCCCCCCC)C3=C2SC=C3
12,2,CCC(CCCC)CC(C1=C2SC=C1)(CC(CCCC)CC)C3=C2SC=C3
13,1,CCC(CCCCCC)CC(C=C1)=CC=C1C2(C3=CC=C(CC(CCCCCC)CC)C=C3)C4=C(C=C5C4CC6=C5C(C7=CC=C(CC(CCCCCC)CC)C=C7)(C8=CC=C(CC(CCCCCC)CC)C=C8)C9C6CC%10=C9C=CC%10)C(C%112)=CC%12=C%11CC=C%12
13,2,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C=C5C4CC6=C5C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9C6CC%10=C9C=CC%10)C(C%112)=CC%12=C%11CC=C%12
14,1,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C=CC4)C(C52)=CC6=C5CC7C6C(C8=CC=C(CCCCCC)C=C8)(C9=CC=C(CCCCCC)C=C9)C%10=C7CC=C%10
15,1,CCCCCCC(C=C1)=CC=C1OC2=C3C(SC4C3C(C5=CC=C(CCCCCC)C=C5)(C6=CC=C(CCCCCC)C=C6)C7=C4SC=C7)=C(OC8=CC=C(CCCCCC)C=C8)C9=C2SC%10C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC=C%13
15,2,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC=C4)C5SC6=CC7=C(SC8C7C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C8SC=C%11)C=C6C52
15,3,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC=C4)C5SC6=C(OCCCCCCCC)C7=C(SC8C7C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C8SC=C%11)C(OCCCCCCCC)=C6C52
16,0,C12C=CC=CC1N=S=N2
16,1,FC1=CC2C(N=S=N2)C=C1F
17,1,CCC(CCCC)CN1C2=C(SC3=C2SC=C3CCCCCCCCCCC)C4=C1C(N(CC(CCCC)CC)C5=C6SC7=C5SC=C7CCCCCCCCCCC)=C6C8=NSN=C48
18,1,FC1=CSC=C1F
19,1,CCCCCCCCC(CCCCCCCC)N(C1=C2SC=C1)C3=C2SC=C3
19,2,CCCCCCCCCN(C1=C2SC=C1)C3=C2SC=C3
20,1,CCCCCCCCN1C2=C(C=C(C(OCCCCCCCC)(OCCCCCCCC)C3=C4SC=C3)C4=C2)C5=CC6=C(C(SC=C7)=C7C6(OCCCCCCCC)OCCCCCCCC)C=C51
21,1,CCCCCCC1(CCCCCC)C2=C(SC=C2)C3=C4C(C(C(SC=C5)=C5C6(CCCCCC)CCCCCC)=C6C=C4)=CC=C31
21,2,CCCCCCC(CC)CC1(CC(CC)CCCCCC)C2=C(SC=C2)C3=C4C(C(C(SC=C5)=C5C6(CC(CC)CCCCCC)CC(CC)CCCCCC)=C6C=C4)=CC=C31
21,3,CCCCCCCCC1(CCCCCCCC)C2=C(SC=C2)C3=C4C(C(C(SC=C5)=C5C6(CCCCCCCC)CCCCCCCC)=C6C=C4)=CC=C31
21,4,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC=C4)C5=C6C(C(C(SC=C7)=C7C8(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)=C8C=C6)=CC=C52
22,1,CCCCCCC(CCCCCCCC)CN1C2=CC3=C4C5=C2C6=C7C8=C(C=CC7=C5CC=C4C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C3SC=C%11)C(C%12=CC=C(CCCCCC)C=C%12)(C%13=CC=C(CCCCCC)C=C%13)C%14C(SC=C%14)=C8C=C61
23,1,CCC(CCCC)C[Si](C1=C2SC=C1)(CC(CCCC)CC)C3=C2SC=C3
24,1,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC=C4)C5=C2C(S6)=C(S5)C7=C6C8=C(C7(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)C=CS8
25,1,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC5=C4SC=C5)C6=C2C(S7)=C(S6)C8=C7C9=C(C8(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C%12=C(C=CS%12)S9
26,1,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC5=C4SC6=C5SC=C6)C7=C2C(S8)=C(S7)C9=C8C%10=C(C9(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=C(C(SC=C%14)=C%14S%13)S%10
27,1,CCCCCCCCC1(CCCCCCCC)C2=C(C=C(C(CCCCCCCC)(CCCCCCCC)C3=C4SC=C3)C4=C2)C5=CC6=C(C(SC=C7)=C7C6(CCCCCCCC)CCCCCCCC)C=C51
28,1,CCCCCCCCC1(CCCCCCCC)C2=C(C=CC=C2)C3=C1C4=C(S3)C5=C(C=CC=C5)C4(CCCCCCCC)CCCCCCCC
29,1,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC5=C4C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=CC9=C(C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12C9SC=C%12)C=C85)(C%13=CC=C(CCCCCC)C=C%13)C%14=C3C=C(C(C%15=CC=C(CCCCCC)C=C%15)(C%16=CC=C(CCCCCC)C=C%16)C%17C%18SC=C%17)C%18=C%14
30,1,CCCCCCC1=C2C(C(C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C6SC=C5)=C6S2)=C7C(C(C(C(C8=CC=C(CCCCCC)C=C8)(C9=CC=C(CCCCCC)C=C9)C%10=C%11SC=C%10)=C%11S%12)=C%12C(CCCCCC)=C7)=C1
31,1,CCCCCCC(C=C1)=CC=C1C(C2C3SC4=C2SC5=C4SC=C5)(C6=CC=C(CCCCCC)C=C6)C7=C3C=C(C(C8=CC=C(CCCCCC)C=C8)(C9=CC=C(CCCCCC)C=C9)C%10C%11SC%12=C%10SC%13=C%12SC=C%13)C%11=C7
32,1,CCCCCCC(C=C1)=CC=C1C(C2=C3C=C4C(C=CS4)=C2)(C5=CC=C(CCCCCC)C=C5)C6=C3C=C(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10C=C%11C(C=CS%11)=C9)C%10=C6
33,1,CCC(CCCCCC)CC1(CC(CCCCCC)CC)C2=C(C(CC(CCCCCC)CC)(CC(CCCCCC)CC)C3=C2C=CC=C3)C4=C1C=CC=C4
34,1,CCCCC(CCCCCC)CN(C1=C2SCC1)C3=C2C(N=S=N4)C4C5=C3N(CC(CCCCCC)CCCC)C6=C5SC=C6
35,1,CCCCCCC(C=C1)=CC=C1C(C2C3[Se]C=C2)(C4=CC=C(CCCCCC)C=C4)C5=C3C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8C9[Se]C=C8)C9=C5
36,1,CCCCCCCC[Si](C1=C2SC3=C1SC4=C3[Si](CCCCCCCC)(CCCCCCCC)C5=C4SC=C5)(CCCCCCCC)C6=C2SC=C6
37,1,CCC(CCCCCC)COC1=C2C(SC3C2[Si](CCCCCCCC)(CCCCCCCC)C4=C3SC=C4)=C(OCC(CCCCCC)CC)C5=C1SC6C5[Si](CCCCCCCC)(CCCCCCCC)C7=C6SC=C7
